sensor_id,sensor_name,zone_id,equipment_tag,sensor_type,unit,normal_min,normal_max,warning_min,warning_max,critical_min,critical_max,absolute_physical_min,absolute_physical_max,sampling_interval_seconds,expected_noise_percent,calibration_interval,sensor_accuracy,response_time,update_frequency,SCADA_tag,alarm_priority,importance_score,maintenance_frequency,whether_redundant_backup_sensor_exists,expected_sensor_lifetime,whether_participates_in_compound_risk_detection,behavior_profile_id,noise_profile_id,physical_response_type,inertia_class,max_physical_rate_of_change,min_physical_rate_of_change,failure_modes,default_quality_mapping_profile_id,operational_phase_tags
Z3_LEL_01,Basement Flammable Gas LEL Detector,3,EQ_Z3_VALVE_GALLERY,Flammable Gas (%LEL),%LEL,0,10,10,20,40,100,0,100,2,3,30 days,3,20,1,GD-LEL-Z3-01,1,9,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z3_O2_01,Basement Oxygen Sensor,3,EQ_Z3_VALVE_GALLERY,Oxygen,%vol,19.5,21.5,19,23.5,17,25,0,25,2,2,30 days,0.2,15,1,GD-O2-Z3-01,2,8,monthly,yes,5,yes,BEH_LINEAR_FALL,NOISE_LOW,atmosphere,MEDIUM,0.3,0.05,EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z3_CO_01,Basement CO Detector,3,EQ_Z3_VALVE_GALLERY,Toxic Gas (CO),ppm,0,25,25,35,50,200,0,1000,2,3,30 days,2,20,1,GD-CO-Z3-01,2,8,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z4_H2S_01,Tar Area H2S Detector,4,EQ_Z4_TAR_EXTRACTOR,Toxic Gas (H2S),ppm,0,5,5,10,10,100,0,200,2,3,30 days,2,20,1,GD-H2S-Z4-01,1,9,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z4_NH3_01,Tar Area NH3 Detector,4,EQ_Z4_TAR_EXTRACTOR,Toxic Gas (NH3),ppm,0,25,25,50,50,300,0,300,2,3,30 days,3,20,1,GD-NH3-Z4-01,1,8,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z4_TAR_TEMP_01,Tar Decanter Temperature Sensor,4,EQ_Z4_TAR_EXTRACTOR,Temperature,°C,70,85,60,90,50,100,0,150,10,1,90 days,1,5,0.5,TT-TAR-DEC-Z4-01,2,7,quarterly,yes,5,yes,BEH_THERMAL_INERTIA,NOISE_LOW,thermal_inertia,SLOW,2.0,0.1,EV_THERMAL_DRIFT,QM_TEMP,normal_coking
Z4_LEL_01,Tar Area Flammable Gas LEL Detector,4,EQ_Z4_TAR_EXTRACTOR,Flammable Gas (%LEL),%LEL,0,10,10,20,40,100,0,100,2,3,30 days,3,20,1,GD-LEL-Z4-01,1,9,monthly,yes,5,yes,BEH_GAS_DIFFUSION,NOISE_LOW,gas_diffusion,FAST,3.0,0.1,EV_GAS_LEAK_MINOR;EV_GAS_LEAK_MAJOR,QM_GAS,normal_coking
Z4_PRESS_01,Hydraulic Main / GCM Draft Pressure,4,EQ_Z4_TAR_EXTRACTOR,Pressure (Draft),mmWC,-10,-5,-15,-3,-20,0,-50,50,30,3,90 days,2,10,1,PT-GSH-601,1,9,quarterly,yes,7,yes,BEH_LINEAR_RISE,NOISE_LOW,hydraulic_pressure,MEDIUM,2.0,0.1,EV_PRESSURE_SURGE,QM_PRESS,normal_coking
Z4_LEVEL_01,Tar Decanter/Seal Pot Level,4,EQ_Z4_TAR_EXTRACTOR,Level (Displacer/Radar),%vessel,40,70,25,85,10,95,0,100,10,2,90 days,1,5,1,LT-TAR-EXT-501,2,7,quarterly,yes,7,yes,BEH_SLOW_DRIFT,NOISE_LOW,level_control,SLOW,2.0,0.1,EV_MAINTENANCE_START;EV_MAINTENANCE_END,QM_OTHER,normal_coking
Z4_FLOW_01,Tar/Flushing Liquor Extraction Flow,4,EQ_Z4_TAR_EXTRACTOR,Flow (Mass/Ultrasonic),%design_flow,90,110,70,130,50,150,0,200,10,3,180 days,2,5,1,FT-TAR-EXT-501,2,6,6-monthly,no,6,yes,BEH_SLOW_DRIFT,NOISE_LOW,flow_control,MEDIUM,5.0,0.1,EV_PUMP_FAILURE,QM_OTHER,normal_coking
Z4_O2_GASLINE_01,Gas Line O2 Ingress Analyzer,4,EQ_Z4_TAR_EXTRACTOR,Oxygen (Gas-Side),%O2,0,1,1,2,2,10,0,25,5,2,30 days,1,10,1,GD-O2-GAS-Z4-01,1,10,monthly,yes,5,yes,BEH_LINEAR_RISE,NOISE_LOW,gas_diffusion,FAST,0.5,0.05,EV_O2_INGRESS,QM_GAS,normal_coking
Z4_FLAME_01,Tar Extractor Flame Detector (UV/IR),4,EQ_Z4_TAR_EXTRACTOR,Flame Detection (UV/IR),boolean,0,0,0,0,1,1,0,1,1,0,90 days,0,1,1,FD-TAR-Z4-01,1,10,quarterly,no,8,yes,BEH_STEP_CHANGE,NOISE_NONE,mechanical_state,FAST,1.0,0.0,EV_FIRE_DETECTION,QM_BOOLEAN,normal_coking
